Entry,Function [CC],Keywords,Gene Ontology (GO),Gene Names,Organism,Protein names,Binding site,Pathway,Activity regulation
O70431,"FUNCTION: G protein-coupled receptor for catecholamines that couples to both G(s) and G(i) proteins, activating bifurcated signaling pathways. ADRB2 binds epinephrine (Epi) with an approximately 30-fold greater affinity than norepinephrine (NE) (By similarity). In the heart, Epi- and NE-activated ADRB2 induces rapid and slow cardiomyocyte contraction rate, respectively. Both NE and Epi promote coupling to G(s)/PKA pathway to regulate myocyte contraction rate. Epi also promotes ADRB2 coupling to G(i) proteins to exert cardioprotective effects especially in the conditions of hypoxia and oxidative stress through the G(i)/PI3K/Akt signaling pathway. ADRB2-G(s) signaling delivers proapoptotic signals in cardiomyocytes although G(i)-mediated survival effect appears to predominate (By similarity). ADRB2 also transduces signals independently of PKA to regulate cellular pH by modulating Na(+)/H(+) exchanger SLC9A3 function (By similarity). {ECO:0000250|UniProtKB:P07550, ECO:0000250|UniProtKB:P18762}.",Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cardiac muscle cell contraction [GO:0106134]; positive regulation of lipophagy [GO:1904504]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Meriones unguiculatus (Mongolian jird) (Gerbillus unguiculatus),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),"BINDING 39; /ligand=""(R)-adrenaline""; /ligand_id=""ChEBI:CHEBI:71406""; /evidence=""ECO:0000250|UniProtKB:P07550""; BINDING 219; /ligand=""(R)-adrenaline""; /ligand_id=""ChEBI:CHEBI:71406""; /evidence=""ECO:0000250|UniProtKB:P07550""; BINDING 238; /ligand=""(R)-adrenaline""; /ligand_id=""ChEBI:CHEBI:71406""; /evidence=""ECO:0000250|UniProtKB:P07550""; BINDING 242; /ligand=""(R)-adrenaline""; /ligand_id=""ChEBI:CHEBI:71406""; /evidence=""ECO:0000250|UniProtKB:P07550""",,
A0A4W6F336,,Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],ADRB2 LOC108894010,Lates calcarifer (Barramundi) (Holocentrus calcarifer),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8B7B3E7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",HRH2,Orycteropus afer afer,Histamine H2 receptor (Gastric receptor I),,,
A0A914BD41,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930],,Patiria miniata (Bat star) (Asterina miniata),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A556TJ38,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,early endosome [GO:0005769]; plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta1-adrenergic receptor activity [GO:0004940]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],Baya_0733,Bagarius yarrelli (Goonch) (Bagrus yarrelli),Beta-1 adrenergic receptor (Beta-1 adrenoreceptor),,,
A0A315V9M4,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],CCH79_00006871,Gambusia affinis (Western mosquitofish) (Heterandria affinis),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A6J8A4M5,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],MCOR_3321,Mytilus coruscus (Sea mussel),HTR7,,,
A0A8D2HM49,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,apical plasma membrane [GO:0016324]; ciliary basal body [GO:0036064]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; intercellular bridge [GO:0045171]; mitotic spindle [GO:0072686]; neuronal dense core vesicle [GO:0098992]; nucleus [GO:0005634]; receptor complex [GO:0043235]; adenylate cyclase binding [GO:0008179]; amyloid-beta binding [GO:0001540]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; potassium channel regulator activity [GO:0015459]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; AMPA selective glutamate receptor signaling pathway [GO:0098990]; bone resorption [GO:0045453]; brown fat cell differentiation [GO:0050873]; cellular response to amyloid-beta [GO:1904646]; diet induced thermogenesis [GO:0002024]; heat generation [GO:0031649]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of smooth muscle contraction [GO:0045986]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cAMP/PKA signal transduction [GO:0141163]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cardiac muscle cell contraction [GO:0106134]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of lipophagy [GO:1904504]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mini excitatory postsynaptic potential [GO:0061885]; positive regulation of transcription by RNA polymerase II [GO:0045944]; receptor-mediated endocytosis [GO:0006898]; regulation of sodium ion transport [GO:0002028]; response to cold [GO:0009409]; smooth muscle contraction [GO:0006939]; transcription by RNA polymerase II [GO:0006366],ADRB2,Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
G3M7Q1,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Glironia venusta (Bushy-tailed opossum),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
A0A3B5RDG7,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus),Histamine H2 receptor (Gastric receptor I),,,
A0A8C4NL30,,Cell membrane;Cell projection;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"ciliary membrane [GO:0060170]; synapse [GO:0045202]; dopamine neurotransmitter receptor activity, coupled via Gs [GO:0001588]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410]",,Eptatretus burgeri (Inshore hagfish),Dopamine D1 receptor,,,
A0A7K6RRM8,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Dl RHYJUB_R08040,Rhynochetos jubatus (kagu),DRD5L protein,,,
B3XXN5,,Cell membrane;G-protein coupled receptor;Membrane;Neuropeptide;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; neuropeptide Y receptor activity [GO:0004983],BNGR-A22 100174933,Bombyx mori (Silk moth),Neuropeptide receptor A22,,,
Q5G6M7,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Rhogeessa tumida (Black-winged little yellow bat),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
Q9BFY2,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine. {ECO:0000256|RuleBase:RU368057}.,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Nomascus concolor (Black crested gibbon) (Hylobates concolor),Beta-2 adrenergic receptor (Beta-2 adrenoceptor) (Beta-2 adrenoreceptor),,,
A0A8T0AXG1,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],HF521_005809,Silurus meridionalis (Southern catfish) (Silurus soldatovi meridionalis),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
H3A2U5,,Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Golgi apparatus;Hydroxylation;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation,early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410]; regulation of smooth muscle contraction [GO:0006940],ADRB2,Latimeria chalumnae (Coelacanth),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A6P7NN64,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],adrb2a,Betta splendens (Siamese fighting fish),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A3P8W0A4,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Cynoglossus semilaevis (Tongue sole),Adrenoceptor beta 3a,,,
A0A671KJR3,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Sinocyclocheilus anshuiensis,Adrenoceptor beta 3a,,,
S4RDR6,"FUNCTION: G-protein coupled receptor for 5-hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone and a mitogen. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors. HTR4 is coupled to G(s) G alpha proteins and mediates activation of adenylate cyclase activity. {ECO:0000256|ARBA:ARBA00046191}.",Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,endosome membrane [GO:0010008]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; chemical synaptic transmission [GO:0007268]; positive regulation of MAPK cascade [GO:0043410]; regulation of appetite [GO:0032098]; system process [GO:0003008],,Petromyzon marinus (Sea lamprey),5-hydroxytryptamine receptor 4 (Serotonin receptor 4),,,
A0A852KTG9,,Cell membrane;Coiled coil;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],Drd1c UROIND_R12287,Urocolius indicus (Red-faced mousebird) (Colius indicus),DRD1C protein,,,
A0A3B4ZS92,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],LOC103355696,Stegastes partitus (bicolor damselfish),Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
A0A8T3E6T1,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],AGOR_G00011370,Albula goreensis,G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A8C4QLW1,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],,Eptatretus burgeri (Inshore hagfish),Adrenoceptor beta 1,,,
H3AWX3,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],LOC106704731,Latimeria chalumnae (Coelacanth),G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A8S3ZGI1,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],CUNI_LOCUS14101,Candidula unifasciata,G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A8X6NPD6,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],OA2B2 NPIL_523461,Nephila pilipes (Giant wood spider) (Nephila maculata),Octopamine receptor beta-2R,,,
A0A3B4WVR0,,Cell membrane;Disulfide bond;G-protein coupled receptor;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta2-adrenergic receptor activity [GO:0004941]; norepinephrine binding [GO:0051380]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Seriola lalandi dorsalis,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),,,
V6DNI7,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],dop2A,Periplaneta americana (American cockroach) (Blatta americana),PeaDOP2A protein,,,
E7F6Y6,FUNCTION: Receptor for somatostatin-14 and -28. This receptor is coupled via pertussis toxin sensitive G proteins to inhibition of adenylyl cyclase. In addition it stimulates phosphotyrosine phosphatase and PLC via pertussis toxin insensitive as well as sensitive G proteins. Inhibits calcium entry by suppressing voltage-dependent calcium channels. Acts as the functionally dominant somatostatin receptor in pancreatic alpha- and beta-cells where it mediates the inhibitory effect of somatostatin-14 on hormone secretion. Inhibits cell growth through enhancement of MAPK1 and MAPK2 phosphorylation and subsequent up-regulation of CDKN1B. Stimulates neuronal migration and axon outgrowth and may participate in neuron development and maturation during brain development. Mediates negative regulation of insulin receptor signaling through PTPN6. Inactivates SSTR3 receptor function following heterodimerization. {ECO:0000256|ARBA:ARBA00024823}.,Cell membrane;Cytoplasm;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix,cytoplasm [GO:0005737]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; neuropeptide binding [GO:0042923]; somatostatin receptor activity [GO:0004994]; cellular response to estradiol stimulus [GO:0071392]; cellular response to glucocorticoid stimulus [GO:0071385]; neuropeptide signaling pathway [GO:0007218],sstr2b,Danio rerio (Zebrafish) (Brachydanio rerio),Somatostatin receptor type 2,,,
A0A814SUC6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],JXQ802_LOCUS21814,Rotaria sordida,G-protein coupled receptors family 1 profile domain-containing protein,,,
A0A8C9R3A6,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],ADRB3,Scleropages formosus (Asian bonytongue) (Osteoglossum formosum),Adrenoceptor beta 3b,,,
A0A7L3LSU2,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta1-adrenergic receptor activity [GO:0004940]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of heart contraction [GO:0045823]; positive regulation of MAPK cascade [GO:0043410],Adrb4c TURVEL_R02185,Turnix velox (Little buttonquail),ADB4C protein,,,
F6XZF4,FUNCTION: Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. Beta-3 is involved in the regulation of lipolysis and thermogenesis. {ECO:0000256|ARBA:ARBA00003285}.,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; receptor complex [GO:0043235]; beta-3 adrenergic receptor binding [GO:0031699]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; G protein activity [GO:0003925]; norepinephrine binding [GO:0051380]; protein homodimerization activity [GO:0042803]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; brown fat cell differentiation [GO:0050873]; diet induced thermogenesis [GO:0002024]; heat generation [GO:0031649]; negative regulation of cardiac muscle contraction [GO:0055118]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of smooth muscle contraction [GO:0045986]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of lipid catabolic process [GO:0050996]; response to cold [GO:0009409],ADRB3,Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus),Beta-3 adrenergic receptor (Beta-3 adrenoreceptor),,,
A0A3P8YYP1,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of MAPK cascade [GO:0043410],,Esox lucius (Northern pike),Adrenoceptor beta 3b,,,
A0A3B4UCW1,,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],,Seriola dumerili (Greater amberjack) (Caranx dumerili),Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor),,,
